Entry Number,Airline Name,Country,Former Colonial Power,Settler or Non-Settler,Type of Decolonization,Year Founded,Year Ceased,Airline Lifespan,Ownership Model,Government Involvement,Fleet Size,Number of Employees,Domestic Service,Regional Service,Intercontinental Service
146,Transair Cargo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,5,,,,
147,Trans Service Airlift,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,4,,,1,
148,Virunga Air Charter (VAC),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1978,,,,,,50,,,
149,Wetrafa Airlift,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,2,,1,,
150,WIGMO,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,High,,,,,
151,Wolf Aviation,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1980s,,,,,,,,,
152,Zaire Aero Services,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1970s,,,,,,,,,
153,Zaire Express,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1995,,,Private,,7,1200,1,,
154,Zairean Airlines,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1981,,,,,5,40,1,1,
155,Zaire Cargo,Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1990s,,,,,1,,1,,1
156,Zaire International Air Cargo System (ZICAS),Democratic Republic of the Congo (Zaire),Belgium,Non-Settler,Mixed,1970s,,,,,1,,,,1
